id ; popSize ; tournament ; mutation ; crossover ; preserveCommonLink ; swapMutation ; numOfCycles ; duration ; best ; av ; worst ; bestFitness ; bestResult
14 ; 25 ; 2 ; 1.0 ; 51 ; true ; false ; 450 ; 2040 ; 757.8422728067404 ; 830.1382350422153 ; 941.1735868943716 ; 757.8422728067404 ; 1.012556301545539 ; [Berlin, Kaliningrad, Kiew, Wolgograd, Jekaterinenburg, Rostow, Kischinau, Sotschi, Wien, Nowgorod, Samara, Saransk, Kasan, Riga, Vilnius, Warschau, Moskau, StPetersburg, Mins, Budapest, Prag, Berlin]
15 ; 25 ; 2 ; 1.0 ; 51 ; true ; false ; 560 ; 1580 ; 757.8422728067404 ; 821.2185576440672 ; 940.4285887792819 ; 757.8422728067404 ; 1.0 ; [Berlin, Kaliningrad, Kiew, Wolgograd, Jekaterinenburg, Rostow, Kischinau, Sotschi, Wien, Nowgorod, Samara, Saransk, Kasan, Riga, Vilnius, Warschau, Moskau, StPetersburg, Mins, Budapest, Prag, Berlin]
16 ; 25 ; 2 ; 1.0 ; 51 ; true ; false ; 670 ; 1667 ; 766.8736032923423 ; 843.4791720634732 ; 941.1735868943716 ; 757.8422728067404 ; 1.0 ; [Berlin, Kaliningrad, Kiew, Wolgograd, Jekaterinenburg, Rostow, Kischinau, Sotschi, Wien, Nowgorod, Samara, Saransk, Kasan, Riga, Vilnius, Warschau, Moskau, StPetersburg, Mins, Budapest, Prag, Berlin]
17 ; 25 ; 2 ; 1.0 ; 51 ; true ; false ; 780 ; 1438 ; 731.7141372547167 ; 809.564632309301 ; 900.6612161831279 ; 717.3299020954967 ; 1.056476623367989 ; [Berlin, Prag, Budapest, Mins, StPetersburg, Warschau, Vilnius, Riga, Kasan, Saransk, Samara, Moskau, Wien, Kischinau, Nowgorod, Sotschi, Rostow, Jekaterinenburg, Wolgograd, Kiew, Kaliningrad, Berlin]
18 ; 25 ; 2 ; 1.0 ; 51 ; true ; false ; 890 ; 1364 ; 716.7959927957234 ; 786.719735731071 ; 900.1273068833545 ; 716.7959927957234 ; 1.0007448553077019 ; [Berlin, Prag, Budapest, Mins, StPetersburg, Warschau, Vilnius, Riga, Kasan, Saransk, Samara, Wien, Kischinau, Moskau, Nowgorod, Sotschi, Rostow, Jekaterinenburg, Wolgograd, Kiew, Kaliningrad, Berlin]
19 ; 25 ; 2 ; 1.0 ; 51 ; true ; false ; 1000 ; 1554 ; 716.7959927957234 ; 810.333663897233 ; 900.1273068833545 ; 716.7959927957234 ; 1.0 ; [Berlin, Prag, Budapest, Mins, StPetersburg, Warschau, Vilnius, Riga, Kasan, Saransk, Samara, Wien, Kischinau, Moskau, Nowgorod, Sotschi, Rostow, Jekaterinenburg, Wolgograd, Kiew, Kaliningrad, Berlin]
20 ; 25 ; 2 ; 1.0 ; 100 ; true ; false ; 10 ; 243 ; 874.9959015346418 ; 955.0785330379565 ; 1041.3591425959053 ; 874.9959015346418 ; 1.1428624959798275 ; [Berlin, Jekaterinenburg, StPetersburg, Saransk, Wolgograd, Warschau, Budapest, Mins, Kaliningrad, Vilnius, Riga, Samara, Kiew, Kasan, Rostow, Sotschi, Moskau, Nowgorod, Kischinau, Wien, Prag, Berlin]
21 ; 25 ; 2 ; 1.0 ; 100 ; true ; false ; 120 ; 2820 ; 724.5375212398537 ; 786.1842174623681 ; 926.387764347763 ; 724.5375212398537 ; 1.2076612678903342 ; [Berlin, StPetersburg, Saransk, Wolgograd, Warschau, Budapest, Mins, Riga, Kiew, Samara, Kasan, Rostow, Sotschi, Moskau, Nowgorod, Jekaterinenburg, Kaliningrad, Kischinau, Prag, Wien, Vilnius, Berlin]
22 ; 25 ; 2 ; 1.0 ; 100 ; true ; false ; 230 ; 3066 ; 724.5375212398537 ; 816.3999542390598 ; 980.44079357443 ; 724.5375212398537 ; 1.0 ; [Berlin, StPetersburg, Saransk, Wolgograd, Warschau, Budapest, Mins, Riga, Kiew, Samara, Kasan, Rostow, Sotschi, Moskau, Nowgorod, Jekaterinenburg, Kaliningrad, Kischinau, Prag, Wien, Vilnius, Berlin]
23 ; 25 ; 2 ; 1.0 ; 100 ; true ; false ; 340 ; 3223 ; 682.7713914976641 ; 744.1403961830034 ; 861.5795612390607 ; 682.7713914976641 ; 1.0611714700737171 ; [Berlin, Prag, Wien, Kischinau, Jekaterinenburg, Nowgorod, Moskau, Sotschi, Rostow, Kasan, Samara, Kiew, Riga, Vilnius, Mins, Kaliningrad, Budapest, Warschau, Wolgograd, Saransk, StPetersburg, Berlin]
24 ; 25 ; 2 ; 1.0 ; 100 ; true ; false ; 450 ; 3107 ; 682.7713914976641 ; 757.7813722566636 ; 861.5795612390608 ; 682.7713914976641 ; 1.0 ; [Berlin, Prag, Wien, Kischinau, Jekaterinenburg, Nowgorod, Moskau, Sotschi, Rostow, Kasan, Samara, Kiew, Riga, Vilnius, Mins, Kaliningrad, Budapest, Warschau, Wolgograd, Saransk, StPetersburg, Berlin]
25 ; 25 ; 2 ; 1.0 ; 100 ; true ; false ; 560 ; 2684 ; 682.7713914976642 ; 757.1651374747748 ; 884.6216346055734 ; 681.2746960725692 ; 1.002196904469993 ; [Berlin, StPetersburg, Saransk, Wolgograd, Sotschi, Vilnius, Warschau, Budapest, Kaliningrad, Mins, Riga, Kiew, Samara, Kasan, Rostow, Moskau, Nowgorod, Jekaterinenburg, Kischinau, Wien, Prag, Berlin]
26 ; 25 ; 2 ; 1.0 ; 100 ; true ; false ; 670 ; 2938 ; 682.7713914976642 ; 770.6746261765584 ; 884.6216346055734 ; 681.2746960725692 ; 1.0 ; [Berlin, StPetersburg, Saransk, Wolgograd, Sotschi, Vilnius, Warschau, Budapest, Kaliningrad, Mins, Riga, Kiew, Samara, Kasan, Rostow, Moskau, Nowgorod, Jekaterinenburg, Kischinau, Wien, Prag, Berlin]
27 ; 25 ; 2 ; 1.0 ; 100 ; true ; false ; 780 ; 3222 ; 682.7713914976641 ; 773.0089632058184 ; 861.5795612390608 ; 681.2746960725692 ; 1.0 ; [Berlin, StPetersburg, Saransk, Wolgograd, Sotschi, Vilnius, Warschau, Budapest, Kaliningrad, Mins, Riga, Kiew, Samara, Kasan, Rostow, Moskau, Nowgorod, Jekaterinenburg, Kischinau, Wien, Prag, Berlin]
